id;type;url;ip;date;
"150";"Pony";"http://142.44.188.19/blaz/admin.php";"142.44.188.19";"09-09-2017";
"151";"Pony";"http://142.44.188.19/wire/admin.php";"142.44.188.19";"09-09-2017";
"152";"Pony";"http://142.44.188.19/victor/admin.php";"142.44.188.19";"09-09-2017";
"153";"Pony";"http://142.44.188.19/shy/admin.php";"142.44.188.19";"09-09-2017";
"154";"Pony";"http://142.44.188.19/mola/admin.php";"142.44.188.19";"09-09-2017";
"155";"LokiBot";"http://142.44.188.19/lokk/fre.php";"142.44.188.19";"09-09-2017";
"156";"Pony";"http://142.44.188.19/dwise/admin.php";"142.44.188.19";"09-09-2017";
"157";"Pony";"http://142.44.188.19/chi/admin.php";"142.44.188.19";"09-09-2017";
"158";"Pony";"http://xdrppped.com.ng/xmercy/xc/panel/admin.php";"108.61.60.106";"09-09-2017";
"159";"Phishing";"http://xdrppped.com.ng/xtra/b/";"108.61.60.106";"09-09-2017";
"160";"Pony";"http://xdrppped.com.ng/xc/panel/admin.php";"108.61.60.106";"09-09-2017";
"161";"Phishing";"http://xdrppped.com.ng/test/log/";"108.61.60.106";"09-09-2017";
"162";"Phishing";"http://xdrppped.com.ng/pdf/wk/pdf.html";"108.61.60.106";"09-09-2017";
"163";"Phishing";"http://xdrppped.com.ng/ben/New/";"108.61.60.106";"09-09-2017";
"164";"Phishing";"http://xdrppped.com.ng/ahxncxm/kui/";"108.61.60.106";"09-09-2017";
"165";"Pony";"http://www.powerozo.com/tergss/tergss/admin.php";"45.126.209.154";"09-09-2017";
"166";"LokiBot";"http://185.165.29.24/xahha/fre.php";"185.165.29.24";"09-09-2017";
"167";"LokiBot";"http://185.165.29.24/panel/fre.php";"185.165.29.24";"09-09-2017";
"168";"LokiBot";"http://185.165.29.24/offswanky/fre.php";"185.165.29.24";"09-09-2017";
"169";"Zeus";"http://www.blazejdutka.pl/wp-plugin/admin.php?m=login";"188.128.135.203";"09-09-2017";
"170";"Phishing";"http://pakiz.ir/construct.php?UE9jaGFybGVzQHllYWhkZXNpZ24uZnI-";"87.107.52.169";"09-09-2017";
"171";"Pony";"http://burder-au.com/cgi-bni/bxn4udkplc/admin.php";"164.160.128.116";"10-09-2017";
"172";"Pony";"http://bagonliebaldesisrl.com/sen/Server/admin.php";"164.160.128.116";"10-09-2017";
"173";"Pony";"http://bagonliebaldesisrl.com/two/Server/admin.php";"164.160.128.116";"10-09-2017";
"174";"Zeus";"http://taeexplosion.info/class/cp.php?m=login";"108.59.12.152";"10-09-2017";
"175";"Atmos";"http://l3d.pp.ru/global/cp.php?m=login";"91.211.116.212";"11-09-2017";
"176";"Atmos";"http://chuanssin.win/oja/atmos/cp.php?m=login";"85.114.138.178";"11-09-2017";
"177";"LokiBot";"http://vlaevj.xyz/roko/fre.php";"101.99.75.152";"11-09-2017";
"178";"LockPOS";"http://treasurehunter.at/boss/";"178.159.36.92";"11-09-2017";
"179";"Pony";"https://flamezserver.com/pony/1/Panel/admin.php";"101.99.75.152";"12-09-2017";
"180";"Pony";"https://flamezserver.com/pony/2/Panel/admin.php";"101.99.75.152";"12-09-2017";
"181";"Pony";"https://flamezserver.com/pony/3/Panel/admin.php";"101.99.75.152";"12-09-2017";
"182";"Pony";"https://flamezserver.com/pony/4/Panel/admin.php";"101.99.75.152";"12-09-2017";
"183";"Pony";"https://flamezserver.com/pony/5/Panel/admin.php";"101.99.75.152";"12-09-2017";
"184";"Pony";"https://flamezserver.com/pony/6/Panel/admin.php";"101.99.75.152";"12-09-2017";
"185";"Phishing";"http://allergiesguide.com/updatemanagement/";"64.118.86.14";"12-09-2017";
"186";"Pony";"http://donygin.com/don1/pony/admin.php";"146.71.86.55";"13-09-2017";
"187";"ASPC";"http://176.31.22.17/";"176.31.22.17";"13-09-2017";
"188";"Miner";"http://www.iplaymobporn.com/index.php";"212.224.112.28";"13-09-2017";
"189";"Miner";"http://nguyenthingoctram.cf/";"94.142.141.51";"13-09-2017";
"190";"Miner";"http://www.season7.ru/";"212.86.102.212";"13-09-2017";
"191";"Miner";"https://kino-kafe.ru/";"79.137.52.116";"13-09-2017";
"192";"Miner";"http://bk-ratings.ru/";"46.4.24.196";"13-09-2017";
"193";"IceIX";"http://datarecoveryoxfordshire.co.uk/admin/adm/index.php?m=login";"109.203.99.70";"13-09-2017";
"194";"Pony";"http://www.weeklydvar.com/ponyyfile/admin.php";"45.60.58.121";"13-09-2017";
"195";"Pony";"http://www.advokatskafirmasajic.com/test/Panel/admin.php";"192.185.121.224";"13-09-2017";
"196";"Pony";"http://www.engrseltevs.com/ebula/admin.php";"101.99.75.152";"13-09-2017";
"197";"Pony";"http://www.mitsumidistrlbution.com/nonso/admin.php";"101.99.75.152";"13-09-2017";
"198";"Pony";"http://www.mitsumidistrlbution.com/twinstar/admin.php";"101.99.75.152";"13-09-2017";
"199";"Pony";"http://www.mitsumidistrlbution.com/stephen/admin.php";"101.99.75.152";"13-09-2017";
"200";"LokiBot";"http://www.mitsumidistrlbution.com/okwus1/five/fre.php";"101.99.75.152";"13-09-2017";
"201";"LokiBot";"http://www.mitsumidistrlbution.com/morgan1/five/fre.php";"101.99.75.152";"13-09-2017";
"202";"KeyBase";"http://www.mitsumidistrlbution.com/kelechi1/";"101.99.75.152";"13-09-2017";
"203";"LokiBot";"http://www.mitsumidistrlbution.com/jay1/five/fre.php";"101.99.75.152";"13-09-2017";
"204";"KeyBase";"http://www.mitsumidistrlbution.com/blockfund/";"101.99.75.152";"13-09-2017";
"205";"Zeus";"http://www.mousawisa.com/mousawisa.com/server/cp.php?m=login";"50.87.150.103";"13-09-2017";
"206";"DiamondFox";"http://franchessko.top/forums/members/";"5.199.164.80";"14-09-2017";
"207";"LokiBot";"http://uzocloudservers.tk/server/five/fre.php	";"149.202.101.146";"14-09-2017";
"208";"Pony";"http://ukspice.tk/wp/image/colour/admin.php";"109.73.175.74";"14-09-2017";
"209";"Pony";"http://ukspice.tk/wp/simbianfolder/html/admin/admin.php";"109.73.175.74";"14-09-2017";
"210";"Pony";"http://acgfinancial.gq/alozspongoogle/admin.php";"103.73.190.234";"14-09-2017";
"211";"Pony";"http://acgfinancial.gq/stargoogle/admin.php";"103.73.190.234";"14-09-2017";
"212";"Pony";"http://acgfinancial.gq/googliteeserver/admin.php";"103.73.190.234";"14-09-2017";
"213";"Pony";"http://acgfinancial.gq/chuksgoogle/admin.php";"103.73.190.234";"14-09-2017";
"214";"Stealer";"http://181.215.235.81/wp-content/themes/au/";"181.215.235.81";"14-09-2017";
"215";"Pony";"http://www.precedeme.com/xaxa/admin.php";"104.255.192.70";"14-09-2017";
"216";"Pony";"http://www.die-smartfahrer.de/js/javascript/admin.php";"81.169.145.175";"14-09-2017";
"217";"Pony";"http://garmonika.com.ua/files/project/admin.php";"77.87.196.60";"14-09-2017";
"218";"Pony";"http://shuangweibo.com/exim/ptc/admin.php";"94.100.31.218";"14-09-2017";
"219";"Pony";"http://www.szevargrows.com/new/Panel/admin.php";"50.116.98.111";"14-09-2017";
"220";"LokiBot";"http://ezpa.ga/Panel/fre.php";"111.90.147.64";"15-09-2017";
"221";"Pony";"http://prognostic-airfield.000webhostapp.com/volk/admin.php";"145.14.144.144";"15-09-2017";
"222";"Pony";"http://prognostic-airfield.000webhostapp.com/volk2/admin.php";"145.14.144.139";"15-09-2017";
"223";"Stealer";"http://rebornstealer.info/";"104.18.56.141";"15-09-2017";
"224";"Pony";"http://akdemirleremlak.com/images/panel/admin.php";"95.173.172.228";"15-09-2017";
"225";"Pony";"http://flamezserver.com/pony/2/Panel/admin.php";"101.99.75.155";"15-09-2017";
"226";"LokiBot";"http://decomterzfurt.com/panel/emmy/fre.php";"178.159.36.185";"17-09-2017";
"227";"LokiBot";"http://decomterzfurt.com/panel/five/fre.php";"178.159.36.185";"17-09-2017";
"228";"AgentTesla";"http://iemnnyanmar.com/web/login.php";"178.159.36.185";"17-09-2017";
"229";"Pony";"http://karyaleather.co.id/wpchikoo/panelnew/admin.php";"103.7.184.15";"17-09-2017";
"230";"Atmos";"http://gickshop.ru/msVGrqvvc9RmVEG/cp.php?m=login";"185.209.21.64";"17-09-2017";
"231";"Pony";"http://alfatehalkaber.com/power/admin.php";"178.159.36.185";"18-09-2017";
"232";"Pony";"http://mpag.gov.my/intranet/updates/admin/admin.php";"202.71.109.230";"18-04-2016";
"233";"Pony";"http://anoutliersodyssey.com/ccgi/isp/admin.php";"23.235.213.147";"18-04-2016";
"234";"Pony";"http://anoutliersodyssey.com/bmp/is6dbu/admin.php";"23.235.213.147";"18-04-2016";
"235";"Pony";"http://mdcdoo.com/lol001/cb9oi9822/admin.php";"185.58.73.19";"18-04-2016";
"236";"Pony";"http://whitepaper.me/new/dboy/here/admin.php";"188.165.50.6";"18-04-2016";
